#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP,MELIKEY
258,Seventeen Years,Ratatat,2004,116,55,94,-6,61,4:26,2,51,
259,jump into the fire - live at madison square garden,LCD Soundsystem,2014-04-19,157,93,29,-9,28,7:16,0,32,
260,The Ghosts Of Beverly Drive,Death Cab for Cutie,2015-03-27,155,86,56,-7,75,4:03,0,58,
261,Boy,Ra Ra Riot,2010,162,86,58,-6,78,3:11,4,44,
262,Any Place,Bahamas,2018-02-16,96,7,60,-10,38,4:01,69,44,
263,1234,Feist,2007-01-01,110,49,71,-7,64,3:04,22,58,
264,Can't Do Without You,Caribou,2014-10-07,128,41,69,-9,49,3:56,79,52,
265,Cult Logic,Miike Snow,2009,110,87,67,-5,48,3:56,5,50,
266,My Step,Little Dragon,2009-08-17,128,51,78,-7,87,3:27,0,41,
267,Echo - Radio Edit,Ookay,2015-03-30,128,80,56,-4,28,3:39,17,33,
268,Magic,Thomas Gold,2016-09-30,105,88,63,-5,44,2:51,5,62,
269,Crash 2.0 (Adventure Club vs. DallasK),Adventure Club,2016-12-02,128,65,66,-5,17,4:15,0,60,
270,I Feel The Love,Tritonal,2016-09-09,125,81,56,-6,44,3:33,2,67,
271,Bring You Back - Beatsole Remix,Kyau & Albert,2018-02-02,132,98,48,-4,12,3:49,1,32,
272,Rise - Radio Edit,Laidback Luke,2017-11-10,126,89,59,-5,59,3:12,0,58,
273,Do It Till Your Face Hurts,Dada Life,2018-03-30,128,85,49,-6,14,2:55,1,52,
274,4ware,deadmau5,2016-12-02,128,71,74,-9,64,8:39,29,59,
275,City Of Dreams - Radio Edit,Dirty South,2013-01-01,128,82,48,-5,15,3:47,0,55,
276,What You Do to Me,ATTLAS,2017-06-09,125,65,70,-9,36,3:43,58,50,
277,The Rain,Steve Angello,2004-06-28,129,93,72,-6,45,7:20,1,55,
278,Cold as Stone,Kaskade,2018-03-16,130,64,50,-4,44,4:02,59,66,
279,Hero (feat. Elizaveta),Pegboard Nerds,2014-03-17,150,92,44,-3,9,5:30,0,55,
280,Collapse (feat. Memorecks),Zeds Dead,2014-07-01,135,76,45,-6,27,4:44,11,58,
281,Ocean,Seven Lions,2018-03-30,100,79,50,-4,25,3:46,7,59,
282,Natural Light,Porter Robinson,2014-08-12,68,27,43,-11,8,2:21,37,44,
283,Crush On You,NERO,2011-01-01,140,89,61,-3,21,4:10,0,35,
284,We Might Fall,Ghastly,2017-05-12,155,76,33,-5,8,3:00,2,57,
285,Rush 2009 - Original Mix,Mat Zo,2009-11-30,130,81,57,-6,11,9:09,0,35,
286,OK!,Jauz,2016-10-10,128,89,62,-3,11,3:08,2,51,
287,STREET,NGHTMRE,2015-07-14,150,97,44,-4,22,2:40,1,55,
288,Mercury - ABGT Mix,Maor Levi,2015-12-27,128,94,53,-9,4,5:08,0,18,
289,Message,Audien,2017-09-15,128,68,51,-4,13,2:49,15,52,
290,Dreamer,Thomas Gold,2017-08-04,96,66,69,-5,81,2:44,12,64,
291,Always Do You - Oliver Smith Remix,Spencer Brown,2017-09-19,128,91,65,-8,4,3:57,0,35,
292,Borrowed Lives (feat. NVDES),Pierce Fulton,2016-07-18,128,74,72,-5,37,5:14,7,56,
293,No Words (feat. Belle Humble),Sander van Doorn,2018-02-23,128,73,46,-4,14,3:47,17,68,
294,Long walk off a short pier,deadmau5,2017-03-03,108,90,57,-6,74,3:42,0,44,
295,Find A Way,Wolfgang Gartner,2017-06-26,128,94,70,-4,53,3:53,0,34,
296,In the Air (feat. Angela McCluskey),Morgan Page,2012-03-06,128,91,70,-5,66,5:07,5,44,
297,Firelight/Shadow Camp,Matt Fax,2017-10-06,123,55,47,-8,13,7:54,56,55,
298,Sweeter Without You,Borgeous,2017-09-29,145,65,48,-6,32,3:12,24,57,
299,Oceans - Dexter Remix,CAZZETTE,2017-03-31,124,61,62,-6,43,3:40,0,67,
300,Our Song,Art Pepper,1991-01-01,115,29,35,-12,17,5:32,76,51,
301,Monk's Dream - Take 8,Thelonious Monk,1963,81,28,70,-15,77,6:25,57,57,
302,I'll Wait And Pray,John Coltrane,2015-02-13,116,6,48,-17,24,3:26,89,58,
303,Cup Bearers,Tommy Flanagan,1982,112,23,50,-21,37,4:09,55,26,
304,Bluesology,The Modern Jazz Quartet,1956,92,22,55,-19,61,5:06,85,30,
305,My One And Only Love - Digitally Remastered,Chick Corea,1993-06-07,160,21,35,-24,45,3:37,82,55,
306,Vein Melter,Herbie Hancock,1973-10-26,58,20,54,-18,39,9:09,26,36,
307,Cleopatra's Dream - 2003 Digital Remaster,Bud Powell,2003,121,38,54,-14,90,4:25,82,46,
308,I'm in a Dancing Mood,Dave Brubeck,1966,140,44,46,-13,58,2:59,60,42,
309,Comin' Home Baby - Live at the Village Gate,Herbie Mann,2005-07-26,78,26,66,-19,52,8:38,59,12,
310,Back At The Chicken Shack,Jimmy Smith,1960,107,37,71,-13,63,8:03,83,44,
311,Tenderly,Dexter Gordon,2013-08-04,181,23,48,-12,37,3:33,92,14,
312,Don't Forget,Jim Hall,1999,64,2,41,-27,14,4:46,100,30,
313,Poinciana,Ahmad Jamal,1951,89,9,55,-21,29,4:34,98,49,
314,Down Here On The Ground - 2002 Digital Remaster,Grant Green,1970,92,46,60,-15,75,6:48,79,47,
315,In Your Own Sweet Way,Wes Montgomery,2008-01-01,122,8,59,-21,8,4:54,99,59,
316,Song For My Father (Rudy Van Gelder Edition) [1999 - Remastered],Horace Silver,1999-04-08,127,67,74,-8,59,7:18,79,58,
317,Girl from Ipanema,Oscar Peterson Trio,2016-04-29,91,27,56,-18,67,3:55,86,43,
318,Broad Way Blues,Ornette Coleman,1968,96,25,51,-18,58,8:44,47,34,
319,Hoe Down,Oliver Nelson,1961,125,54,61,-9,84,4:42,79,31,
320,Work Song (Remastered),Cannonball Adderley,2014-03-26,170,31,50,-13,54,5:08,72,34,
321,The Very Thought Of You,Red Garland,1957,61,14,58,-14,12,4:10,97,25,
322,You Go To My Head,Art Pepper,1988-05-11,65,9,57,-16,30,4:18,98,60,
323,Armageddon - 2004 - Remaster,Wayne Shorter,1964,113,47,49,-12,40,6:23,76,27,
324,Evil Ways,Cal Tjader,1982-01-01,112,52,66,-11,92,5:12,54,23,
325,Spiral Dance,Keith Jarrett,1974-01-01,95,46,55,-17,50,4:07,6,17,
326,Chick's Chums,Chick Corea,2018-01-19,102,53,62,-12,68,9:23,34,29,
327,Delphia,Freddie Hubbard,1970,82,23,40,-16,19,7:20,94,35,
328,Stormy Weather,Oscar Peterson,2014-08-18,120,18,60,-16,56,3:33,99,51,
329,The Sit-In,Bobby Timmons,2014-02-26,87,24,59,-19,49,4:16,71,37,
330,Cajun Moon (feat. Cissy Housten),Herbie Mann,1976,92,44,76,-14,84,6:16,81,37,
331,Midnight Special - 2007 Digital Remaster,Jimmy Smith,1961,90,28,70,-12,32,9:57,81,53,
332,Easy Living,Clifford Brown,1998-02-26,125,9,51,-13,33,3:45,98,53,
333,Sonny's Crip,Sonny Clark,1960-03-23,116,36,52,-14,80,6:20,61,51,
334,Autumn Nocturne,Lou Donaldson,1958,124,7,54,-18,26,4:55,97,59,
335,You've Changed,Dexter Gordon,1991-06-10,58,17,35,-14,21,7:28,95,31,
336,When Sunny Gets Blue,McCoy Tyner,2009-01-01,60,12,57,-23,10,4:42,85,61,
337,I Remember Clifford,Lee Morgan,1988-11-02,62,14,37,-15,17,7:09,90,56,
338,Right Place Wrong Time,Dr. John,1973,105,49,79,-14,83,2:55,9,58,
339,I Heard It Through The Grapevine - Single Version (Mono),Marvin Gaye,1995-01-01,118,52,74,-6,69,3:13,26,64,
340,Let's Stay Together,Al Green,2009,102,40,76,-11,51,3:19,57,75,
341,"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,2013-05-13,125,43,45,-12,67,2:44,34,28,
342,Son Of A Preacher Man,Dusty Springfield,1969-03-31,182,50,40,-11,82,2:29,39,64,
343,The Comedians - Live,Roy Orbison,2017-02-24,115,42,58,-11,54,3:30,54,50,
344,Suite: Judy Blue Eyes,"Crosby, Stills & Nash",2005-03-14,154,40,46,-12,32,7:24,49,47,
345,The Boxer,Simon & Garfunkel,1970-01-26,93,49,44,-14,63,5:09,70,68,
346,Vienna,Billy Joel,1977,125,50,53,-7,31,3:34,66,69,
347,Landslide,Fleetwood Mac,1975-07-11,159,16,41,-22,42,3:19,88,75,
348,Time Is Tight,Booker T. & the M.G.'s,2009-01-01,135,49,79,-12,94,3:15,9,38,
349,What Becomes Of The Brokenhearted - Single Version,Jimmy Ruffin,2004-01-01,98,82,57,-5,63,3:02,75,53,
350,I Can't Get Next To You,The Temptations,1969-01-01,109,69,68,-13,71,2:55,56,50,
351,Bring It On Home to Me,Sam Cooke,2000-09-26,71,40,52,-8,68,2:43,78,72,
352,Kokomo,The Beach Boys,2012-10-09,116,64,68,-10,93,3:37,1,60,
353,Maneater - Remastered,Daryl Hall & John Oates,1982,89,69,73,-7,81,4:32,4,76,
354,I Can't Tell You Why,Eagles,1979,85,35,71,-12,49,4:55,69,60,
355,Tell The World How I Feel About 'Cha Baby**,Harold Melvin & The Blue Notes,1975,128,73,50,-12,70,5:52,3,21,
356,Cut the Cake - Single Edit,Average White Band,1975-06-24,109,63,81,-12,96,4:08,28,44,
357,Save The Last Dance For Me,The Drifters,2005-02-08,143,53,54,-11,90,2:35,61,56,
358,It Can Happen,Yes,1983-06-01,112,87,56,-6,41,5:30,3,43,
359,All My Life,America,1979,87,34,44,-13,27,3:04,23,53,
360,Love Rollercoaster,Ohio Players,2000-01-01,115,89,61,-7,49,4:53,22,46,
361,Tired of Being Alone,Al Green,1971-08-14,98,40,77,-9,62,2:52,34,67,
362,Daydream Believer) - 45 Version,The Monkees,1967-10-30,126,51,51,-9,68,2:59,5,36,
363,What's Going On,Marvin Gaye,1971-05-21,202,83,26,-6,84,3:53,11,61,
364,He's A Friend,Eddie Kendricks,1998-01-01,105,69,65,-8,67,4:39,11,34,
365,Lean on Me,Bill Withers,1972,75,22,62,-14,42,4:19,78,67,
366,Without You,Harry Nilsson,1967,65,21,44,-14,12,3:22,56,58,
367,I Just Don't Know What To Do With Myself,Dusty Springfield,1964-10,96,74,35,-9,31,3:00,58,25,
368,Mrs. Robinson,Simon & Garfunkel,1972-06-14,92,46,60,-14,79,3:54,72,56,
369,Little Lies - Remastered,Fleetwood Mac,1987-04-13,125,65,64,-10,87,3:41,22,70,
370,Farewell Is A Lonely Sound,Jimmy Ruffin,1969,145,70,31,-7,67,3:04,6,41,
371,I Get The Sweetest Feeling,Jackie Wilson,2009,125,56,69,-6,75,2:56,63,53,
372,Surfin' U.S.A.,The Beach Boys,2012-10-09,159,80,55,-7,97,2:30,40,41,
373,Be My Baby,The Ronettes,2011-02-22,130,77,51,-7,82,2:41,18,71,
374,Behave Yourself,Booker T. & the M.G.'s,1962,195,29,45,-11,12,3:55,84,41,
375,Earned It,The Temptations,2018-04-13,120,51,42,-6,41,4:52,17,47,
376,Up Against The Wall,Peter Bjorn and John,2007-02-20,138,69,66,-7,56,7:06,14,45,
377,"When They Fight, They Fight",Generationals,2009-07-21,120,90,76,-2,97,3:20,24,53,
378,Wide Eyes,Local Natives,2010-02-16,123,86,53,-8,49,4:26,0,62,
379,Should Have Known Better,Sufjan Stevens,2015-03-31,91,17,57,-21,30,5:08,98,65,
380,Too young,Phoenix,2000-03-06,141,75,62,-6,91,3:18,6,59,
381,I Turn My Camera On,Spoon,2005-05-10,100,46,94,-6,78,3:32,3,51,
382,The Boy With The Arab Strap,Belle & Sebastian,1998,142,83,58,-10,69,5:14,37,46,
383,Vaporize,Broken Bells,2010-03-03,96,59,56,-8,48,3:29,2,51,
384,Wraith Pinned to the Mist and Other Games,of Montreal,2005-04-12,122,58,87,-10,77,4:16,3,56,
385,Girl Inform Me,The Shins,2001-06-19,120,64,61,-7,61,2:21,42,47,
386,Wake Up,Arcade Fire,2004,139,80,25,-5,29,5:35,12,67,
387,The Mall & Misery,Broken Bells,2010-03-03,137,65,59,-6,28,4:07,36,53,
388,The Blues Are Still Blue,Belle & Sebastian,2006-02-07,120,83,74,-5,92,4:09,27,36,
389,No Intention,Dirty Projectors,2009-06-09,80,67,58,-7,58,4:17,34,42,
390,Valerie,Ra Ra Riot,2012,125,85,65,-6,75,3:51,0,58,
391,Nothing To Worry About,Peter Bjorn and John,2009-03-31,95,63,72,-7,64,2:57,20,37,
392,Gone For Good,The Shins,2003-10-21,114,69,62,-4,49,3:14,1,52,
393,Lion's Mane,Iron & Wine,2002-09-24,88,35,60,-11,62,2:50,88,43,
394,Firewater,Django Django,2012-08-21,142,73,71,-5,70,4:50,1,32,
395,The Underdog,Spoon,2007-07-10,145,53,69,-11,91,3:42,7,61,
396,Awake,Electric Guest,2012-01-01,111,59,57,-7,81,5:01,2,46,
397,Fantasy Island,The Shins,2017-03-10,100,69,50,-8,65,4:47,6,47,
398,Home,LCD Soundsystem,2010-05-17,124,84,75,-9,78,7:53,5,57,
399,Belated Promise Ring,Iron & Wine,2009-05-19,88,51,56,-11,88,3:46,82,40,
400,Young Folks,Peter Bjorn and John,2007-02-20,138,82,70,-6,67,4:39,2,65,
401,Perfect World,Broken Bells,2014-06-10,156,89,55,-7,77,6:24,2,51,
402,Kahlil Gibran,STRFKR,2013-02-12,85,64,68,-8,35,4:01,27,57,
403,Stillness Is The Move,Dirty Projectors,2009-06-09,76,54,57,-6,53,5:14,11,43,
404,Phantom Limb,The Shins,2007-01-23,120,87,52,-4,50,4:48,0,59,
405,Impossible Germany,Wilco,2007-05-11,105,73,55,-6,51,5:57,58,50,
406,In The Morning Of The Magicians,The Flaming Lips,2002-05-13,134,73,30,-6,37,6:19,23,48,
407,The Breeze,Dr. Dog,2008-07-22,90,54,61,-8,32,3:59,76,62,
408,Tokyo,The Books,2011-01-25,97,57,62,-8,54,3:43,91,35,
409,Cellphone's Dead,Beck,2006-01-01,108,71,76,-6,74,4:46,18,42,
410,Funtimes in Babylon,Father John Misty,2012-05-01,105,49,54,-8,36,3:40,74,54,
411,If She Wants Me,Belle & Sebastian,2003,90,69,65,-8,86,5:05,27,41,
412,"Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,1983,73,16,28,-19,30,2:32,89,71,
413,When U Love Somebody,Fruit Bats,2003-04-08,121,76,72,-6,59,4:31,12,58,
414,Cello Song Feat. Jose Gonzales,The Books,2013-10-15,117,47,65,-13,49,3:54,61,44,
415,That Old Black Hole,Dr. Dog,2012-02-07,101,88,53,-5,64,3:21,8,45,
416,Whole Wide World,Wreckless Eric,1978,114,55,75,-9,88,2:53,53,42,
417,Today Is the Day,Yo La Tengo,2003-04-08,119,40,61,-15,27,5:35,94,49,
418,Ladies and Gentlemen We Are Floating in Space,Spiritualized,1997-06-16,100,41,38,-11,18,3:54,75,55,
419,Let Me Go,Cake,1998,109,64,77,-8,94,3:30,5,49,
420,Group Autogenics I,The Books,2010-07-20,95,33,82,-14,43,3:44,46,30,
421,Penelope,Pinback,2001,118,48,81,-15,51,4:47,71,44,
422,Ram On - 2012 Remaster,Paul McCartney,1971-05-17,128,42,61,-12,56,2:30,85,44,
423,Don't You Evah,Spoon,2007-07-10,121,62,77,-7,96,3:37,4,54,
424,Embryonic Journey,Jefferson Airplane,1967,108,35,29,-14,49,1:52,80,56,
425,Section 12 (Hold Me Now),The Polyphonic Spree,2004-07-13,149,79,25,-6,46,4:31,27,38,
426,Either Way,Wilco,2007-05-11,75,55,54,-10,34,3:06,60,44,
427,How Long Must I Wait,Dr. Dog,2012-02-07,90,93,51,-4,43,3:40,18,46,
428,The Mystery Zone,Spoon,2010-01-19,119,55,79,-7,73,4:59,36,37,
429,Go It Alone,Beck,2005-01-01,75,40,86,-10,53,4:09,60,54,
430,Narcolepsy,Ben Folds Five,1999-04-27,117,52,37,-8,16,5:24,4,31,
431,Vincent O'Brien,M. Ward,2003-02-18,126,71,63,-7,76,2:38,47,44,
432,I Am The Changer,Cotton Jones,2009-01-27,122,53,63,-10,45,6:35,78,55,
433,Shadow Stabbing,Cake,2001-07-23,131,57,84,-8,82,3:07,5,51,
434,Loro,Pinback,1999,135,34,88,-13,75,3:34,81,46,
435,Foux Du Fafa,Flight of the Conchords,2008-04-22,101,75,73,-9,63,2:46,8,44,
436,California Stars,Billy Bragg,1998,110,74,62,-9,72,4:59,42,54,
437,Dream A Little Dream Of Me - Album Version With Introduction,The Mamas & The Papas,1968-05,134,32,46,-13,33,3:14,82,57,
438,The Way We Get By,Spoon,2002-08-20,75,67,72,-6,62,2:40,34,51,
439,Strangers in the Night,Cake,2007-11-13,90,41,73,-11,66,2:52,30,46,
440,While You Wait For The Others,Grizzly Bear,2009-05-24,80,46,55,-8,33,4:30,53,46,
441,Peace Like a River,Paul Simon,1972-01-14,127,34,64,-14,67,3:23,87,43,
442,Fresh Feeling,Eels,2001,94,73,76,-8,51,3:37,5,38,
443,Our Way to Fall,Yo La Tengo,2000-02-22,78,24,56,-15,55,4:18,72,56,
444,Carol Brown,Flight of the Conchords,2009-10-20,149,67,74,-9,79,3:27,41,46,
445,Le temps de l'amour - Remastered,Françoise Hardy,2017-08-13,132,42,58,-11,75,2:24,61,48,
446,If I Ever Was a Child,Wilco,2016-09-09,134,55,68,-12,77,2:56,49,59,
447,One Of These Things First,Nick Drake,1970-01-01,90,38,61,-18,71,4:51,84,50,
448,Where'd All the Time Go?,Dr. Dog,2010-11-02,166,82,45,-4,57,3:55,13,63,
449,Everything Hits At Once,Spoon,2001-02-20,123,57,79,-8,56,4:04,21,47,
450,Excuses,The Morning Benders,2010,96,81,44,-6,49,5:17,37,54,
451,Feeling Yourself Disintegrate,The Flaming Lips,1999-05-17,145,63,40,-9,47,5:17,0,40,
452,What's in It For?,Avi Buffalo,2010-04-27,116,83,51,-6,60,5:09,49,43,
453,Mexico,Cake,1998,149,43,60,-10,46,3:26,23,47,
454,Modern Guilt,Beck,2008-01-01,150,50,74,-7,61,3:12,6,42,
455,It's Only Life,The Shins,2012-03-16,148,62,63,-7,45,4:02,5,53,
456,The Spark That Bled,The Flaming Lips,1999-05-17,130,55,29,-12,20,5:55,35,38,
457,Sons & Daughters,The Decemberists,2006-10-03,115,56,33,-8,24,5:14,22,49,
458,Colored Emotions,Night Moves,2012-10-16,99,65,48,-5,23,4:20,61,50,
459,Who Knows Who Cares,Local Natives,2010-02-16,78,59,43,-6,25,3:53,41,52,
460,Green Aisles,Real Estate,2011-10-18,104,78,48,-5,56,5:01,6,49,
461,Mean Streets,Tennis,2015-05-12,145,68,55,-6,86,3:23,17,43,
462,Kicking The Heart Out,Rogue Wave,2004-07-13,125,32,59,-10,43,4:15,47,30,
463,Sleep Apnea,Beach Fossils,2013-02-19,80,69,55,-11,50,2:26,14,59,
464,Stronger Than That,Bahamas,2014-08-19,96,55,75,-4,86,2:37,46,53,
465,Sarah (Bonus Track),(Sandy) Alex G,2015-03-24,124,69,65,-5,50,2:56,51,52,
466,Birds Dont Sing,TV Girl,2014-06-05,107,94,61,-5,81,3:29,2,59,
467,Live in Dreams,Wild Nothing,2010-05-25,143,87,54,-8,63,3:26,24,47,
468,Airplanes,Local Natives,2010-02-16,96,53,59,-8,59,3:58,53,50,
469,Gap in the Clouds,Yellow Days,2016-11-18,140,54,58,-8,20,4:40,59,65,
470,Plants,Crumb,2017-05-24,81,41,49,-11,22,3:12,61,57,
471,Put a Flower in Your Pocket,The Arcs,2015-08-28,126,38,49,-9,43,3:55,0,59,
472,I'm On Standby,Grandaddy,2003-05-13,105,68,57,-8,42,3:12,0,30,
473,"Archie, Marry Me",Alvvays,2014-07-18,117,83,27,-5,21,3:17,1,60,
474,Hail Bop,Django Django,2012-08-21,124,75,62,-7,53,4:04,1,36,
475,Mystery of Love (From the Original Motion Picture “Call Me by Your Name”),Sufjan Stevens,2017-12-01,132,27,37,-17,24,4:09,94,65,
476,Cubism Dream,Local Natives,2010-02-16,105,52,66,-9,80,4:00,57,40,
477,Big Black Car,Gregory Alan Isakov,2009-05-15,110,18,57,-16,40,3:37,90,68,
478,Dave’s Song,Whitney,2016-06-03,142,47,59,-8,36,3:01,35,58,
479,Chinatown,Wild Nothing,2010-05-25,126,68,53,-5,16,3:19,2,49,
480,White Horses,Darlingside,2015-09-18,77,46,50,-10,46,4:13,25,48,
481,Next To You,Poolside,2012-07-09,94,76,79,-5,96,4:23,15,48,
482,Leave It In My Dreams,The Voidz,2018-03-30,119,75,60,-5,61,3:59,2,60,
483,Nature's Child,The Arcs,2015-08-28,140,33,51,-13,37,3:12,40,42,
484,Stella Blue,Local Natives,2016-05-20,81,62,42,-7,24,4:39,1,48,
485,Saturday,Real Estate,2017-03-17,131,72,53,-6,21,4:43,7,60,
486,Grease,Flo Morrissey and Matthew E. White,2017-01-13,98,64,84,-7,63,4:21,5,36,
487,Lady and Man,Khruangbin,2018-01-26,82,69,73,-8,90,4:18,0,59,
488,Maud Gone,Car Seat Headrest,2015-10-30,105,36,53,-7,21,5:58,3,52,
489,Stay Away,Charles Bradley,2011,89,71,77,-5,64,3:12,9,50,
490,Beautiful Blue Sky,Ought,2015-09-18,123,73,62,-6,56,7:44,7,50,
491,Would You Want Me,Generationals,2014-09-12,100,56,76,-9,71,3:53,37,48,
492,Road Head,Japanese Breakfast,2017-07-14,95,67,54,-9,17,3:15,10,62,
493,Leon,The Japanese House,2016-11-11,121,35,46,-10,23,3:36,91,51,
494,Fiction,Kygo,2016-05-13,110,80,72,-6,43,4:04,2,61,
495,Unfold,Alina Baraz,2015-05-19,112,50,63,-9,19,4:32,67,64,
496,00000 Million - Recorded at Spotify Studios NYC,Ella Vos,2017-04-05,146,28,59,-13,11,2:50,24,54,
497,Heading Home,Gryffin,2016-01-22,118,92,58,-4,25,4:31,1,59,
498,Goliath (feat. Jody Brock),Elephante,2016-09-14,128,90,68,-3,51,3:13,2,46,
499,Girls Just Wanna Have Fun - Recorded at Spotify Studios NYC,Charlotte Lawrence,2018-03-21,110,38,68,-9,8,2:44,67,55,
500,Written In The Scars (feat. Wrabel),Galantis,2017-09-15,100,64,59,-5,35,3:24,8,54,
501,So It Goes...,Taylor Swift,2017-11-10,150,61,56,-7,40,3:48,12,66,
502,Sister,The Japanese House,2015-04-27,114,28,31,-13,9,3:44,91,42,
503,Teacher,PRETTYMUCH,2017-09-29,180,63,52,-5,39,3:15,2,67,
504,Koto,ODESZA,2014-09-08,100,65,50,-7,10,3:14,1,53,
505,Light On,Quinn XCII,2016-03-11,83,63,67,-9,43,3:43,15,52,
